1674259200000,22666.00000000,22792.86000000,22422.00000000,22563.99000000,29590.53550000,1674266399999,668658744.92510670,699897,14593.56786000,329786139.79433660,0
1674266400000,22563.04000000,22623.21000000,22492.68000000,22547.35000000,17099.38478000,1674273599999,385852994.25523230,435262,8593.62830000,193921498.47813060,0
1674273600000,22547.83000000,22643.65000000,22514.60000000,22573.98000000,15072.78561000,1674280799999,340460580.69645040,404715,7377.50133000,166642249.51695560,0
1674280800000,22573.99000000,22670.00000000,22554.72000000,22638.36000000,15931.42094000,1674287999999,360304640.24917430,459869,7913.95046000,178985309.49440020,0
1674288000000,22638.36000000,23100.00000000,22626.62000000,23037.49000000,35761.01501000,1674295199999,815163013.21935700,784329,17988.47561000,410095380.16545860,0
1674295200000,23037.46000000,23335.77000000,22595.23000000,22905.65000000,66612.49010000,1674302399999,1527862875.17876070,1164294,33460.06920000,767408264.55684590,0
1674302400000,22907.01000000,23087.63000000,22851.94000000,22930.04000000,29484.12538000,1674309599999,677354985.45577780,679901,14547.90695000,334231418.21753120,0
1674309600000,22930.87000000,23280.00000000,22875.54000000,22998.90000000,31010.63297000,1674316799999,715243719.48113250,711863,15641.63753000,360786615.78838940,0
1674316800000,22998.90000000,23371.80000000,22980.00000000,23226.65000000,40911.65586000,1674323999999,948704276.43145350,863645,20570.83768000,477089106.87523970,0
1674324000000,23225.17000000,23308.06000000,23053.24000000,23270.50000000,21297.09703000,1674331199999,494238584.62750370,531815,10850.95044000,251824965.06461360,0
1674331200000,23270.97000000,23299.55000000,23009.11000000,23204.64000000,17964.91037000,1674338399999,416160383.64546320,478816,8635.51921000,200045775.20267480,0
1674338400000,23203.41000000,23210.91000000,22680.73000000,22783.55000000,25709.43077000,1674345599999,588930370.36660140,582114,12489.12674000,286099951.24838690,0
