1674259200000,22666.00000000,22792.86000000,22422.00000000,22594.02000000,14693.41388000,1674260999999,332033871.89497380,283184,7264.42058000,164166052.08693130,0
1674261000000,22593.25000000,22660.46000000,22562.81000000,22576.17000000,5779.02992000,1674262799999,130659431.63077730,169801,2812.53918000,63591743.81156910,0
1674262800000,22576.86000000,22618.78000000,22551.72000000,22579.46000000,5337.54274000,1674264599999,120576008.73669680,141925,2691.96654000,60814811.02400670,0
1674264600000,22580.03000000,22612.03000000,22560.31000000,22563.99000000,3780.54896000,1674266399999,85389432.66265880,104987,1824.64156000,41213532.87182950,0
1674266400000,22563.04000000,22623.21000000,22562.80000000,22621.26000000,3645.32270000,1674268199999,82408908.29290410,96079,1857.35534000,41989784.33655270,0
1674268200000,22621.79000000,22622.79000000,22508.33000000,22551.05000000,5487.76158000,1674269999999,123839464.33371600,127289,2738.67250000,61801734.60417890,0
1674270000000,22551.05000000,22570.38000000,22492.68000000,22558.57000000,4826.85643000,1674271799999,108799448.80692940,123046,2424.58800000,54652130.95281380,0
1674271800000,22557.73000000,22571.40000000,22533.17000000,22547.35000000,3139.44407000,1674273599999,70805172.82168280,88848,1573.01246000,35477848.58458520,0
1674273600000,22547.83000000,22619.48000000,22514.60000000,22615.99000000,4688.25139000,1674275399999,105803517.70036240,118396,2401.14961000,54189519.40186250,0
1674275400000,22615.02000000,22643.65000000,22581.51000000,22597.96000000,4111.38860000,1674277199999,92957648.10436690,107333,2014.23294000,45541742.14073070,0
1674277200000,22597.96000000,22621.39000000,22567.14000000,22617.64000000,3398.04128000,1674278999999,76766397.89453500,92740,1681.91346000,37997401.09629410,0
1674279000000,22616.86000000,22619.62000000,22562.84000000,22573.98000000,2875.10434000,1674280799999,64933016.99718610,86246,1280.20532000,28913586.87806830,0
1674280800000,22573.99000000,22612.65000000,22554.72000000,22603.88000000,3432.22919000,1674282599999,77519137.84595100,100459,1720.70568000,38864508.71308990,0
1674282600000,22603.88000000,22622.99000000,22584.74000000,22620.93000000,3872.58357000,1674284399999,87548662.01652960,116335,1943.26088000,43932975.16205580,0
1674284400000,22620.42000000,22653.65000000,22602.22000000,22635.50000000,3545.71691000,1674286199999,80229343.78921860,106189,1732.53592000,39203063.27537230,0
1674286200000,22634.61000000,22670.00000000,22600.74000000,22638.36000000,5080.89127000,1674287999999,115007496.59747510,136886,2517.44798000,56984762.34388220,0
1674288000000,22638.36000000,22767.00000000,22626.62000000,22674.21000000,7967.51627000,1674289799999,180856400.53759170,178053,3824.78442000,86821579.35475960,0
1674289800000,22673.32000000,22776.31000000,22666.70000000,22700.63000000,6358.23667000,1674291599999,144493800.86601490,156825,3151.97083000,71631548.59003490,0
1674291600000,22700.62000000,22764.57000000,22685.48000000,22731.59000000,5137.59927000,1674293399999,116788855.67424010,136126,2575.07662000,58538466.44422050,0
1674293400000,22730.83000000,23100.00000000,22727.37000000,23037.49000000,16297.66280000,1674295199999,373023956.14151030,313325,8436.64374000,193103785.77644360,0
1674295200000,23037.46000000,23335.77000000,22700.88000000,22792.23000000,30884.29742000,1674296999999,713859543.40400040,500491,15202.55842000,351412434.20677250,0
1674297000000,22788.70000000,22857.29000000,22595.23000000,22777.52000000,18848.83711000,1674298799999,428791615.11171650,309379,9694.07452000,220557444.18713030,0
1674298800000,22778.51000000,22840.00000000,22652.61000000,22824.62000000,8323.25232000,1674300599999,189337408.36492150,178548,4227.04140000,96163415.66781580,0
1674300600000,22825.85000000,22953.93000000,22811.84000000,22905.65000000,8556.10325000,1674302399999,195874308.29812230,175876,4336.39486000,99274970.49512730,0
1674302400000,22907.01000000,23087.63000000,22888.00000000,22991.82000000,8848.74056000,1674304199999,203366497.26001010,183518,4493.38998000,103276021.35113570,0
1674304200000,22993.58000000,23072.61000000,22907.01000000,23039.50000000,7631.17368000,1674305999999,175497651.03769520,181411,3716.70697000,85481543.35168620,0
1674306000000,23041.12000000,23050.00000000,22917.85000000,22970.25000000,6197.69508000,1674307799999,142456990.97466730,152429,2908.34018000,66852518.19403820,0
1674307800000,22970.24000000,22977.00000000,22851.94000000,22930.04000000,6806.51606000,1674309599999,156033846.18340520,162543,3429.46982000,78621335.32067110,0
1674309600000,22930.87000000,22971.97000000,22875.54000000,22933.31000000,4951.07409000,1674311399999,113462910.67633190,120887,2382.76409000,54608793.42126550,0
1674311400000,22931.97000000,23018.92000000,22915.00000000,22955.26000000,5532.69206000,1674313199999,127076961.99323470,136350,2815.26610000,64664699.22789160,0
1674313200000,22955.80000000,23230.94000000,22954.67000000,23219.99000000,9186.81974000,1674314999999,212125800.87151820,202868,4967.02874000,114690024.17480970,0
1674315000000,23220.00000000,23280.00000000,22930.92000000,22998.90000000,11340.04708000,1674316799999,262578045.94004770,251758,5476.57860000,126823098.96442260,0
1674316800000,22998.90000000,23185.25000000,22980.00000000,23113.89000000,10334.43812000,1674318599999,238587806.61252370,232075,5174.36883000,119463339.60579420,0
1674318600000,23113.89000000,23269.73000000,23112.10000000,23197.45000000,8628.57241000,1674320399999,200173456.49956350,198274,4352.08248000,100967752.79221570,0
1674320400000,23196.43000000,23326.54000000,23126.06000000,23224.56000000,11163.90664000,1674322199999,259364133.04579830,218061,5621.54860000,130626764.66406720,0
1674322200000,23224.56000000,23371.80000000,23130.00000000,23226.65000000,10784.73869000,1674323999999,250578880.27356800,215235,5422.83777000,126031249.81316260,0
1674324000000,23225.17000000,23254.12000000,23053.24000000,23125.04000000,7594.69010000,1674325799999,175888013.16312720,166609,3770.95673000,87326640.61113220,0
